barangay,month,weight,cases_in_window,window_start,window_end,alpha_smooth,scheme,run_id
santo nino,,0.014537902388369679,97.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
sasa,,0.019581664441477527,131.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
sibulan,,0.0002966918854769322,1.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
sirawan,,0.005637145824061712,37.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
sirib,,0.0045987242248924495,30.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
suawan,,0.0017801513128615932,11.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
subasta,,0.0022251891410769915,14.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
sumimao,,0.0013351134846461949,8.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tacunan,,0.01631805370123127,109.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tagakpan,,0.004153686396677051,27.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tagluno,,0.0004450378282153983,2.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tagurano,,0.0011867675419077288,7.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
talandang,,0.0038569945112001186,25.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
talomo,,0.04450378282153983,299.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
talomo river,,0.009197448449784899,61.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tamayong,,0.0020768431983385254,13.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tambobong,,0.0034119566829847203,22.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tamugan,,0.0045987242248924495,30.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tapak,,0.0004450378282153983,2.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tawan tawan,,0.0035603026257231864,23.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tibuloy,,0.0023735350838154576,15.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tibungco,,0.027592345349354695,185.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tigatto,,0.012757751075508085,85.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
toril,,0.015427978044800474,103.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tugbok,,0.012164367304554221,81.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
tungakalan,,0.0007417297136923305,4.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
ubalde,,0.0011867675419077288,7.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
ula,,0.0035603026257231864,23.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
vicente hizon sr,,0.0037086485684616525,24.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
waan,,0.001631805370123127,10.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
wangan,,0.004450378282153983,29.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
wilfredo aquino,,0.0025218810265539237,16.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
wines,,0.005933837709538644,39.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
